,Year,Country,Poverty,Crime,Population
115,2019,Ireland,185.0,12.8,4904240.0
116,2019,Italy,4468.0,13.9,59816673.0
117,2019,Latvia,150.0,10.9,1919968.0
118,2019,Lithuania,173.0,4.9,2794184.0
119,2019,Luxembourg,20.0,14.8,613894.0
120,2019,Malta,75.0,14.7,493559.0
121,2019,Netherlands,1485.0,20.7,17282163.0
122,2019,North Macedonia,130.0,7.1,2077132.0
123,2019,Norway,245.0,7.6,5328212.0
124,2019,Poland,1306.0,8.8,37972812.0
125,2019,Portugal,692.0,9.0,10276617.0
126,2019,Romania,325.0,12.9,19414458.0
127,2019,Serbia,364.0,16.7,6963764.0
128,2019,Slovakia,81.0,5.1,5450421.0
129,2019,Slovenia,57.0,12.4,2080908.0
130,2019,Spain,4360.0,16.4,46937060.0
131,2019,Sweden,668.0,17.7,10230185.0
132,2019,Switzerland,384.0,11.3,8544527.0
133,2020,Albania,140.0,1.1,2845955.0
134,2020,Austria,545.0,11.4,8901064.0
135,2020,Belgium,726.0,19.8,11522440.0
136,2020,Bulgaria,489.0,26.6,6951482.0
137,2020,Croatia,166.0,3.4,4058165.0
138,2020,Cyprus,65.0,8.6,888005.0
139,2020,Czech Republic,262.0,10.5,10693939.0
140,2020,Denmark,325.0,11.1,5822763.0
141,2020,Estonia,155.0,6.3,1328976.0
142,2020,Finland,244.0,10.8,5525292.0
143,2020,France,4037.0,27.0,67320216.0
144,2020,Germany,6846.0,14.1,83166711.0
145,2020,Greece,537.0,28.8,10718565.0
146,2020,Hungary,299.0,5.2,9769526.0
147,2020,Ireland,198.0,18.7,4964440.0
148,2020,Latvia,145.0,8.8,1907675.0
149,2020,Lithuania,175.0,4.5,2794090.0
150,2020,Luxembourg,17.0,12.5,626108.0
151,2020,Malta,77.0,12.5,514564.0
152,2020,Netherlands,1512.0,20.2,17407585.0
153,2020,Norway,238.0,6.4,5367580.0
154,2020,Portugal,619.0,8.7,10295909.0
155,2020,Romania,391.0,11.0,19328838.0
156,2020,Serbia,345.0,16.2,6926705.0
157,2020,Slovakia,59.0,5.3,5457873.0
158,2020,Slovenia,58.0,12.5,2095861.0
159,2020,Spain,4621.0,17.4,47332614.0
160,2020,Sweden,563.0,19.9,10327589.0
161,2020,Switzerland,361.0,11.8,8606033.0
